_id	model.x	model.y	weighted	first-order weighting	context window size	second-order window size	second-order scheme	MDS stress	Same Class Path ratio
air.n.40-40.weightsBNC-2-2pospmi.7-7.LLR	-1.737329342	2.874022487	yes	BNC-2-2pospmi	L40-R40	L7-R7	LLR	27.05	0.363349368
air.n.40-40.weightsBNC-2-2pospmi.7-7.pospmi	4.55031139	0.234280919	yes	BNC-2-2pospmi	L40-R40	L7-R7	pospmi	22.34	0.22443824
air.n.40-40.weightsBNC-2-2pospmi.7-7.tScore	3.160192464	-1.625934879	yes	BNC-2-2pospmi	L40-R40	L7-R7	tScore	24.7	0.422292052
air.n.40-40.weightsBNC-4-4pospmi.10-10.diceM	5.588773259	1.737232283	yes	BNC-4-4pospmi	L40-R40	L10-R10	diceM	18.32	0.252936951
air.n.40-40.weightsBNC-4-4pospmi.10-10.LLR	2.234195693	-1.753782666	yes	BNC-4-4pospmi	L40-R40	L10-R10	LLR	25.05	0.440120749
air.n.40-40.weightsBNC-4-4pospmi.10-10.pospmi	2.814977518	0.659737315	yes	BNC-4-4pospmi	L40-R40	L10-R10	pospmi	21.45	0.254780658
air.n.40-40.weightsBNC-4-4pospmi.10-10.tScore	1.964084474	-0.2726895	yes	BNC-4-4pospmi	L40-R40	L10-R10	tScore	22.3	0.510298923
air.n.40-40.weightsBNC-4-4pospmi.2-2.diceM	4.791428274	0.529078634	yes	BNC-4-4pospmi	L40-R40	L2-R2	diceM	24.78	0.2887264
air.n.40-40.weightsBNC-4-4pospmi.2-2.LLR	4.719049144	-3.878604253	yes	BNC-4-4pospmi	L40-R40	L2-R2	LLR	29.62	0.409658418
air.n.40-40.weightsBNC-4-4pospmi.2-2.pospmi	3.748486344	0.573801854	yes	BNC-4-4pospmi	L40-R40	L2-R2	pospmi	24	0.220150007
air.n.40-40.weightsBNC-4-4pospmi.2-2.tScore	4.913656293	0.441301196	yes	BNC-4-4pospmi	L40-R40	L2-R2	tScore	27.18	0.410153211
air.n.40-40.weightsBNC-4-4pospmi.4-4.diceM	3.574194678	-0.376699678	yes	BNC-4-4pospmi	L40-R40	L4-R4	diceM	21.71	0.243736814
air.n.40-40.weightsBNC-4-4pospmi.4-4.LLR	2.7025691	-2.325290855	yes	BNC-4-4pospmi	L40-R40	L4-R4	LLR	27.22	0.463893659
